ID Курса,Название курса,Обложка
К001,Эхокардиография. Продвинутый уровень. Клапаны под контролем,zaglushaka.jpeg
К002,"Модульный курс по ""Холтер и СМАД""
 Как читать холтер и СМАД что бы не ошибаться?
 ",zaglushaka.jpeg
К003,Авторская методика обучения ЭКГ на казахском языке,zaglushaka.jpeg
К004,Интервал QT и лекарственные препараты. Знания на каждый день,zaglushaka.jpeg
К005,“ЭхоКГ с нуля для врача-клинициста”,zaglushaka.jpeg
К006,Особенности Холтеровского мониторирования у пациентов с ЭКС,zaglushaka.jpeg
К007,Бранч: «Искусство слышать шепот»,zaglushaka.jpeg
К008,Кардиоонкология,zaglushaka.jpeg
К009,Нагрузочное тестирование в кардиологии: от показаний к клиническим решениям,zaglushaka.jpeg
К010,Психотропные препараты в кардиологии: где заканчивается помощь и начинается риск?,zaglushaka.jpeg
К011,"«Спирография в клинической практике: интерпретация без ошибок»
 
 Врождённые пороки сердца",zaglushaka.jpeg
К012,Функциональная диагностика 24/7: клинические нюансы Холтера и СМАДа,zaglushaka.jpeg
К013,Школа активного мозга (Для врачей и вдумчивых пациентов),zaglushaka.jpeg
К014,"Сложные ВПС простым языком: что должен знать каждый врач
 
 Очно!
 
 Проводит детский кардиолог",zaglushaka.jpeg
К015,"“ЭКГ”
 На Казахском языке",zaglushaka.jpeg
